Cam1,Cam2,Temp,Press,Alt,Accel_x2,Accel_y2,Accel_z2,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Quaternion_1,Quaternion_2,Quaternion_3,Quaternion_4,Stage,Time
0,1,25.7632065,910.6358032,891.6660156,1.176798,0.1176798,-8.1199055,0.7250252,-0.1722832,-9.540184,0.0362479,0.0083519,0.077274,7.4810052,27.4108715,24.6054935,-0.0440204,0.8218043,0.5667918,0.0379253,0,2537551
0,0,25.763443,910.623291,891.779541,1.0591182,0,-11.061902,1.1844472,-0.1866402,-10.3944216,0.0411348,0.0010215,0.0833827,6.8965516,27.6446514,24.3132668,-0.0440214,0.8217973,0.5668011,0.0379397,0,2537580
0,0,25.7624416,910.6231079,891.781189,0.588399,-0.2353596,-10.4735031,0.8685946,-0.0646062,-9.4396858,0.0350262,0.0046867,0.0882696,7.0718875,27.2939796,24.7808285,-0.0439894,0.8217967,0.5668045,0.0379361,0,2537606
0,0,25.761694,910.631958,891.7011108,0.9414384,-0.7060788,-8.3552656,0.5168497,-0.7752746,-9.0807619,0.031361,0.0022433,0.082161,7.1303329,27.3524246,24.4886017,-0.0440128,0.8218002,0.5668038,0.0378414,0,2537632
1,1,25.7611294,910.6266479,891.7488403,0.7060788,-0.2353596,-8.9436646,-0.2799602,-0.2584248,-10.1575327,0.0325827,0.003465,0.0784958,6.4289889,27.6446514,24.7223835,-0.0439292,0.8217971,0.5668237,0.0377112,0,2537658
0,0,25.7605648,910.6342163,891.6802979,1.176798,0.2353596,-8.1199055,-1.1844472,1.0983056,-13.1007042,0.0472435,0.0132388,0.082161,8.0070133,26.5926361,24.6639385,-0.0436576,0.8218231,0.566816,0.0375748,0,2537683
1,1,25.7608757,910.6341553,891.6808472,0.9414384,0.7060788,-3.5303938,2.7421746,1.5864414,-11.2989073,0.0374696,0.003465,0.0943783,7.1303329,27.8199883,24.02104,-0.0435886,0.8218055,0.5668302,0.0378238,0,2537709
0,0,25.7600918,910.6333618,891.6879883,0,-0.8237587,-10.8265419,0.5958129,-0.3302095,-9.3248301,0.0386913,0.0046867,0.0760523,6.9549971,27.5862064,24.6054935,-0.0435718,0.8218034,0.5668378,0.0377743,0,2537736
0,0,25.759491,910.637146,891.654541,1.4121575,0,-9.649744,0.8542377,-0.2656033,-9.1094761,0.026474,-0.0002002,0.0736089,7.0134425,27.1186447,24.3132668,-0.0435657,0.8218018,0.5668416,0.037758,0,2537762
1,0,25.759491,910.632019,891.7005615,1.2944778,1.176798,-7.8845468,-0.0430708,-0.107677,-10.2006025,0.0252523,0.003465,0.0809392,7.3641143,27.0601997,24.9561653,-0.0434638,0.821813,0.5668404,0.0376501,0,2537787
0,0,25.7597637,910.6376953,891.6484985,1.7651969,0.1176798,-8.0022268,1.8305094,0.445065,-10.523633,0.0374696,0.0046867,0.0577264,7.0718875,27.2939796,24.1379299,-0.0434426,0.8218035,0.5668483,0.0377652,0,2537813
0,1,25.7592545,910.6315918,891.7038574,0.8237587,0,-6.7077489,1.1485548,-0.1507478,-8.6644106,0.031361,0.0059085,0.0711654,7.3056688,27.1770897,24.3717117,-0.0434475,0.8218028,0.5668469,0.0377937,0,2537839
1,0,25.759016,910.6332397,891.6896362,1.6475173,0.3530394,-7.5315075,1.2777673,0.445065,-10.30828,0.0289175,0.0022433,0.063835,7.3056688,27.0017529,24.6639385,-0.0433827,0.8218026,0.5668482,0.037855,0,2537865
