time,state,pressure,altitude,startAlt,temperature,velocity_world_x,velocity_world_y,velocity_world_z,baro_vz,lsm_accel_r,lsm_accel_p,lsm_accel_y,lsm_gyro_r,lsm_gyro_p,lsm_gyro_y,adxl_accel_r,adxl_accel_p,adxl_accel_y,predicted_apogee,airbrake_deployment,mag_r,mag_p,mag_y,q0,q1,q2,q3,accel_world_x,accel_world_y,accel_world_z,alt_fused,cam1_on,cam2_on,main_p_ematch_voltage,main_s_ematch_voltage,drogue_p_ematch_voltage,drogue_s_ematch_voltage,roll,pitch,yaw,t_burnout,t_apogee,t_drogue,t_main,t_land,drogue_validated_baro,main_validated_baro
590889,1,937.298,652.457,650.261,44.040,-0.004,0.004,-0.043,0.155,9.785,-0.260,-0.154,-0.009,0.001,0.001,13.454,-2.883,-1.922,0.000,0,-18.130,-8.272,-96.495,0.982,-0.010,0.010,0.189,-0.037,-0.015,-0.020,2.021,1,1,14140,14219,14190,14159,21.731,-0.903,1.290,0,0,0,0,0,0,0
591889,1,937.335,652.132,650.261,44.040,-0.003,0.003,-0.115,-0.153,9.793,-0.177,-0.146,-0.001,0.002,0.001,11.532,-2.883,13.454,0.000,0,-17.682,-8.160,-97.881,0.982,-0.011,0.007,0.189,-0.022,0.034,-0.015,1.974,1,1,14130,14224,14182,14164,21.793,-1.083,0.989,0,0,0,0,0,0,0
592889,1,937.332,652.155,650.261,44.040,-0.006,-0.001,-0.130,-0.038,9.796,-0.213,-0.196,-0.010,0.001,-0.001,20.181,-1.922,-9.610,0.000,0,-17.626,-8.370,-97.755,0.982,-0.012,0.009,0.189,0.011,0.011,-0.009,1.826,1,1,14132,14207,14184,14160,21.796,-1.183,1.329,0,0,0,0,0,0,0
593889,1,937.322,652.248,650.261,44.050,-0.008,-0.004,0.041,-0.126,9.813,-0.292,-0.202,0.013,0.002,-0.001,20.181,-2.883,-11.532,0.000,0,-18.466,-7.880,-96.901,0.982,-0.012,0.013,0.190,0.005,-0.028,0.009,2.208,1,1,14126,14218,14189,14170,21.862,-1.022,1.673,0,0,0,0,0,0,0
594889,1,937.285,652.570,650.261,44.050,-0.014,-0.014,0.079,0.118,9.813,-0.417,-0.224,0.038,0.003,-0.001,12.493,-1.922,10.571,0.000,0,-18.018,-8.076,-96.775,0.982,-0.014,0.011,0.190,-0.136,-0.050,0.013,2.268,1,1,14168,14212,14189,14165,21.853,-1.330,1.586,0,0,0,0,0,0,0
595890,1,937.279,652.631,650.261,44.050,-0.013,-0.018,0.033,0.181,9.809,-0.254,-0.259,-0.044,-0.002,0.001,12.493,-0.961,13.454,0.000,0,-17.444,-8.622,-96.789,0.982,-0.011,0.007,0.190,-0.037,-0.089,0.006,2.216,1,1,14160,14232,14187,14164,21.928,-1.109,1.088,0,0,0,0,0,0,0
596890,1,937.290,652.528,650.261,44.050,-0.011,-0.003,0.040,0.055,9.803,-0.192,-0.181,0.016,-0.002,0.000,21.142,-1.922,12.493,0.000,0,-17.822,-8.048,-98.413,0.982,-0.011,0.010,0.191,0.045,0.018,-0.003,2.234,1,1,14158,14214,14192,14161,21.993,-1.054,1.397,0,0,0,0,0,0,0
597890,1,937.313,652.322,650.261,44.050,-0.004,0.010,-0.090,-0.096,9.800,-0.280,-0.154,-0.009,-0.002,0.001,15.376,0.000,7.688,0.000,0,-17.612,-8.426,-98.119,0.981,-0.009,0.010,0.191,-0.038,-0.045,-0.005,2.107,1,1,14180,14215,14186,14161,22.024,-0.745,1.336,0,0,0,0,0,0,0
598890,1,937.308,652.372,650.261,44.050,-0.001,0.015,-0.036,0.012,9.805,-0.199,-0.129,0.004,-0.001,0.001,16.337,-1.922,0.000,0.000,0,-17.458,-8.370,-98.301,0.981,-0.008,0.007,0.192,-0.035,-0.019,-0.003,2.044,1,1,14133,14216,14189,14159,22.104,-0.732,0.935,0,0,0,0,0,0,0
599890,1,937.287,652.554,650.261,44.050,-0.001,0.017,0.087,0.105,9.796,-0.150,-0.162,0.016,0.001,0.000,14.415,-7.688,7.688,0.000,0,-17.178,-8.286,-96.593,0.981,-0.011,0.007,0.192,0.023,0.035,-0.011,2.254,1,1,14162,14217,14192,14160,22.124,-1.083,1.074,0,0,0,0,0,0,0
