Accel_X1,Accel_Y1,Accel_Z1,Accel_world_x,Accel_world_y,Accel_world_z,Alt,Cam1V,Cam2V,Filtered_Alt,Gyro_X,Gyro_Y,Gyro_Z,Pressure,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z,Temp,Time,drogue_p_ematch_voltage,drogue_s_ematch_voltage,flight_state,mag_p,mag_r,mag_y,main_p_ematch_voltage,main_s_ematch_voltage,pitch,roll,velocity_x,velocity_y,velocity_z,yaw
1.24,0.78,-10.03,-0.2,-0.03,0.33,-0.23,1,1,-0.23,-0.0,-0.0,-0.0,1012.37,,,,,29.3,5883,8,6,0,0.0,-0.0,0.0,23,4,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,6132,,,,,,,,,-83.07,0.02,-0.01,-0.0,5.07,-4.37
1.24,0.79,-10.05,-0.0,0.01,0.34,-0.08,1,1,-0.11,-0.0,-0.0,-0.0,1012.36,,,,,29.31,6383,4,0,0,0.0,-0.0,0.0,8,0,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,6633,,,,,,,,,-83.07,0.02,-0.01,-0.0,1.66,-4.44
1.22,0.78,-10.04,0.0,-0.0,0.34,-0.18,1,1,-0.25,-0.0,-0.0,-0.0,1012.37,,,,,29.32,6882,2,1,0,0.0,-0.0,0.0,4,2,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,7132,,,,,,,,,-83.07,0.03,-0.01,-0.0,8.79,-4.38
1.23,0.79,-10.04,0.0,0.0,0.34,-0.06,1,1,-0.06,-0.0,-0.0,-0.0,1012.35,,,,,29.32,7383,0,2,0,0.0,-0.0,0.0,8,0,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,7633,,,,,,,,,-83.08,0.03,-0.01,-0.0,-0.91,-4.42
1.23,0.78,-10.05,0.0,-0.0,0.34,-0.12,1,1,-0.21,-0.0,-0.0,0.0,1012.36,,,,,29.31,7883,4,0,0,0.0,-0.0,0.0,2,0,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,8132,,,,,,,,,-83.02,0.03,-0.01,-0.0,3.25,-4.39
1.22,0.78,-10.05,0.0,-0.01,0.34,-0.15,1,1,-0.12,-0.0,-0.0,-0.0,1012.37,,,,,29.3,8383,0,1,0,0.0,-0.0,0.0,6,6,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,8633,,,,,,,,,-83.06,0.04,-0.01,-0.0,-0.63,-4.46
1.23,0.79,-10.04,0.0,-0.0,0.34,-0.12,1,1,-0.18,0.0,-0.0,-0.0,1012.36,,,,,29.3,8883,9,0,0,0.0,-0.0,0.0,2,1,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,9132,,,,,,,,,-83.03,0.04,-0.01,-0.0,8.7,-4.43
1.22,0.78,-10.04,0.0,-0.0,0.33,-0.2,1,1,-0.33,-0.0,-0.0,-0.0,1012.37,,,,,29.3,9383,3,0,0,0.0,-0.0,0.0,1,4,,,,,,
,,,,,,,,,,,,,,0.75,-0.66,-0.03,-0.03,,9633,,,,,,,,,-83.06,0.05,-0.01,-0.0,0.85,-4.44
