Accel_X1,Accel_Y1,Accel_Z1,Accel_world_x,Accel_world_y,Accel_world_z,Alt,Filtered_Alt,Gyro_X,Gyro_Y,Gyro_Z,Pressure,Temp,Time,flight_state,mag_p,mag_r,mag_y
9.9,-0.43,-0.2,-0.06,0.05,0.1,2.09,1.73,0.38,0.4,0.0,942.51,37.87,0.0,0.0,80.07,35.9,-85.15
9.9,-0.43,-0.19,-0.12,0.15,0.1,1.3,1.54,0.11,-0.27,0.01,942.6,37.87,0.499,0.0,80.19,36.18,-85.55
9.94,-0.45,-0.26,0.0,0.0,0.14,1.62,1.6,-0.42,-0.47,-0.0,942.56,37.87,1.0,0.0,80.64,35.95,-85.41
9.89,-0.43,-0.21,0.06,-0.09,0.09,1.79,1.6,-0.18,0.17,-0.01,942.54,37.87,1.499,0.0,80.54,35.48,-86.08
9.92,-0.44,-0.23,0.01,-0.01,0.12,1.46,1.45,0.37,0.44,0.0,942.58,37.89,2.0,0.0,80.53,36.05,-85.62
9.93,-0.41,-0.23,-0.08,0.11,0.14,1.96,1.58,0.19,-0.15,0.01,942.52,37.89,2.499,0.0,79.86,36.08,-85.8
9.88,-0.45,-0.25,-0.05,0.04,0.08,1.77,1.62,-0.36,-0.52,-0.0,942.54,37.9,3.0,0.0,81.08,35.95,-86.61
9.93,-0.43,-0.22,0.05,-0.05,0.14,1.97,1.71,-0.31,-0.01,-0.01,942.52,37.88,3.499,0.0,80.22,35.94,-85.48
9.92,-0.45,-0.24,0.06,-0.06,0.12,1.9,2.01,0.26,0.48,-0.0,942.53,37.88,4.0,0.0,80.92,36.44,-85.73
9.94,-0.44,-0.21,-0.12,0.09,0.14,2.12,1.89,0.39,0.23,0.01,942.5,37.9,4.499,0.0,80.19,35.8,-83.56
9.91,-0.39,-0.22,-0.04,0.13,0.11,1.81,1.75,-0.06,-0.42,0.01,942.54,37.88,5.0,0.0,80.31,35.77,-85.57
9.89,-0.48,-0.26,0.0,-0.07,0.1,1.19,1.25,-0.44,-0.38,-0.01,942.61,37.88,5.5,0.0,80.24,35.42,-86.56
9.88,-0.51,-0.2,-0.14,0.05,0.08,1.86,1.86,0.41,0.28,0.01,942.53,37.87,11.725,0.0,80.49,36.2,-86.53
9.94,-0.35,-0.16,-0.06,0.15,0.14,1.61,1.85,-0.05,-0.39,0.01,942.56,37.9,12.227,0.0,80.19,35.53,-85.9
9.88,-0.51,-0.3,0.02,-0.1,0.09,1.41,1.71,-0.43,-0.35,-0.01,942.58,37.92,12.727,0.0,80.73,35.66,-85.6
9.93,-0.37,-0.18,0.08,-0.08,0.12,2.25,2.03,-0.09,0.3,-0.01,942.49,37.94,13.228,0.0,80.08,35.76,-85.55
9.88,-0.46,-0.18,-0.01,0.0,0.08,1.62,1.83,0.4,0.46,0.0,942.56,37.94,13.727,0.0,80.92,35.84,-85.43
9.95,-0.41,-0.2,-0.06,0.1,0.15,1.33,1.6,0.3,0.03,0.01,942.59,37.94,14.227,0.0,80.22,36.05,-85.86
9.92,-0.44,-0.24,-0.05,0.04,0.12,1.49,1.59,-0.23,-0.48,-0.0,942.58,37.94,14.727,0.0,80.61,35.94,-84.83
9.87,-0.46,-0.24,0.03,-0.14,0.08,1.68,1.61,-0.41,-0.18,-0.01,942.55,37.95,15.227,0.0,79.93,35.39,-85.52
9.94,-0.4,-0.19,0.06,-0.05,0.14,1.55,1.66,0.09,0.42,-0.01,942.57,37.97,15.728,0.0,80.26,35.71,-85.17
9.88,-0.51,-0.24,-0.06,-0.01,0.09,1.69,1.71,0.41,0.37,0.01,942.55,37.97,16.227,0.0,79.9,35.39,-85.42
9.89,-0.39,-0.16,-0.09,0.15,0.09,1.93,1.67,0.12,-0.24,0.01,942.53,37.97,16.727,0.0,80.59,36.11,-83.95
9.94,-0.45,-0.3,0.02,-0.01,0.15,1.15,1.2,-0.36,-0.47,-0.01,942.61,37.97,17.227,0.0,79.93,36.12,-87.17
9.88,-0.41,-0.23,0.07,-0.12,0.08,1.51,1.43,-0.32,0.01,-0.01,942.57,37.96,17.728,0.0,80.05,36.53,-85.66
9.92,-0.41,-0.22,0.07,-0.04,0.12,1.55,1.66,0.23,0.49,-0.0,942.57,37.96,18.227,0.0,80.28,35.91,-86.28
9.93,-0.45,-0.22,-0.05,0.03,0.14,1.75,1.89,0.39,0.24,0.01,942.55,37.96,18.727,0.0,80.57,36.43,-84.89
9.88,-0.43,-0.18,-0.1,0.17,0.08,1.84,1.94,-0.02,-0.37,0.01,942.54,37.98,19.228,0.0,79.73,36.23,-84.97
9.92,-0.48,-0.27,-0.03,-0.04,0.12,1.65,1.66,-0.42,-0.43,-0.01,942.56,37.98,19.728,0.0,80.35,36.41,-84.96
9.93,-0.42,-0.24,0.08,-0.09,0.14,1.98,1.76,-0.23,0.1,-0.01,942.52,38.0,20.228,0.0,80.24,35.95,-85.91
9.89,-0.49,-0.25,0.02,0.02,0.1,2.19,1.84,0.01,0.0,-0.0,942.5,38.02,25.728,1.0,80.54,36.6,-85.38
9.89,-0.42,-0.21,0.0,-0.03,0.09,2.03,2.14,-0.01,0.0,0.0,942.51,38.01,26.227,1.0,80.18,35.98,-84.47
9.91,-0.48,-0.26,0.01,0.02,0.11,1.29,1.6,0.0,0.01,-0.0,942.6,38.01,26.727,1.0,80.46,35.76,-84.5
9.88,-0.38,-0.18,-0.04,-0.02,0.08,1.53,1.41,-0.03,-0.0,0.0,942.57,38.0,27.228,1.0,80.36,36.04,-84.32
