deployment_level,mach,cd
0,0.05,0.46
0,0.1,0.44
0,0.15,0.43
0,0.2,0.43
0,0.25,0.43
0,0.3,0.43
0,0.35,0.43
0,0.4,0.43
0,0.45,0.43
0,0.5,0.44
0,0.55,0.44
0,0.6,0.45
0,0.65,0.46
0,0.7,0.47
0,0.75,0.48
0,0.8,0.49
0.1,0.05,0.482847492
0.1,0.1,0.462847492
0.1,0.15,0.453075967
0.1,0.2,0.453075967
0.1,0.25,0.453304442
0.1,0.3,0.453761392
0.1,0.35,0.453989867
0.1,0.4,0.454218342
0.1,0.45,0.454218342
0.1,0.5,0.464446817
0.1,0.55,0.464675292
0.1,0.6,0.475132242
0.1,0.65,0.485589191
0.1,0.7,0.495817666
0.1,0.75,0.506274616
0.1,0.8,0.516960041
0.2,0.05,0.505694985
0.2,0.1,0.485694985
0.2,0.15,0.476151934
0.2,0.2,0.476151934
0.2,0.25,0.476608884
0.2,0.3,0.477522784
0.2,0.35,0.477979734
0.2,0.4,0.478436684
0.2,0.45,0.478436684
0.2,0.5,0.488893634
0.2,0.55,0.489350583
0.2,0.6,0.500264483
0.2,0.65,0.511178383
0.2,0.7,0.521635333
0.2,0.75,0.532549232
0.2,0.8,0.543920082
0.3,0.05,0.528541453
0.3,0.1,0.508541453
0.3,0.15,0.499226868
0.3,0.2,0.499226868
0.3,0.25,0.499912282
0.3,0.3,0.501283112
0.3,0.35,0.501968526
0.3,0.4,0.502653941
0.3,0.45,0.502653941
0.3,0.5,0.513339355
0.3,0.55,0.51402477
0.3,0.6,0.525395599
0.3,0.65,0.536766428
0.3,0.7,0.547451842
0.3,0.75,0.558822671
0.3,0.8,0.570878915
0.4,0.05,0.551386899
0.4,0.1,0.531386899
0.4,0.15,0.522300768
0.4,0.2,0.522300768
0.4,0.25,0.523214637
0.4,0.3,0.525042375
0.4,0.35,0.525956244
0.4,0.4,0.526870113
0.4,0.45,0.526870113
0.4,0.5,0.537783982
0.4,0.55,0.538697851
0.4,0.6,0.550525589
0.4,0.65,0.562353327
0.4,0.7,0.573267195
0.4,0.75,0.585094933
0.4,0.8,0.59783654
0.5,0.05,0.574237462
0.5,0.1,0.554237462
0.5,0.15,0.545379836
0.5,0.2,0.545379836
0.5,0.25,0.546522211
0.5,0.3,0.54880696
0.5,0.35,0.549949335
0.5,0.4,0.551091709
0.5,0.45,0.551091709
0.5,0.5,0.562234084
0.5,0.55,0.563376459
0.5,0.6,0.575661208
0.5,0.65,0.587945957
0.5,0.7,0.599088332
0.5,0.75,0.611373081
0.5,0.8,0.624800205
0.6,0.05,0.597082907
0.6,0.1,0.577082907
0.6,0.15,0.568453736
0.6,0.2,0.568453736
0.6,0.25,0.569824565
0.6,0.3,0.572566223
0.6,0.35,0.573937052
0.6,0.4,0.575307881
0.6,0.45,0.575307881
0.6,0.5,0.58667871
0.6,0.55,0.588049539
0.6,0.6,0.600791198
0.6,0.65,0.613532856
0.6,0.7,0.624903685
0.6,0.75,0.637645343
0.6,0.8,0.65175783
0.7,0.05,0.61993347
0.7,0.1,0.59993347
0.7,0.15,0.591532805
0.7,0.2,0.591532805
0.7,0.25,0.593132139
0.7,0.3,0.596330809
0.7,0.35,0.597930143
0.7,0.4,0.599529478
0.7,0.45,0.599529478
0.7,0.5,0.611128813
0.7,0.55,0.612728147
0.7,0.6,0.625926817
0.7,0.65,0.639125486
0.7,0.7,0.650724821
0.7,0.75,0.66392349
0.7,0.8,0.678721494
0.8,0.05,0.642778915
0.8,0.1,0.622778915
0.8,0.15,0.614606704
0.8,0.2,0.614606704
0.8,0.25,0.616434493
0.8,0.3,0.620090072
0.8,0.35,0.621917861
0.8,0.4,0.62374565
0.8,0.45,0.62374565
0.8,0.5,0.635573439
0.8,0.55,0.637401228
0.8,0.6,0.651056807
0.8,0.65,0.664712385
0.8,0.7,0.676540174
0.8,0.75,0.690195752
0.8,0.8,0.70567912
0.9,0.05,0.66562436
0.9,0.1,0.64562436
0.9,0.15,0.637680604
0.9,0.2,0.637680604
0.9,0.25,0.639736847
0.9,0.3,0.643849335
0.9,0.35,0.645905578
0.9,0.4,0.647961822
0.9,0.45,0.647961822
0.9,0.5,0.660018066
0.9,0.55,0.662074309
0.9,0.6,0.676186796
0.9,0.65,0.690299284
0.9,0.7,0.702355527
0.9,0.75,0.716468014
0.9,0.8,0.732636745
1,0.05,0.688474923
1,0.1,0.668474923
1,0.15,0.660759672
1,0.2,0.660759672
1,0.25,0.663044422
1,0.3,0.66761392
1,0.35,0.669898669
1,0.4,0.672183419
1,0.45,0.672183419
1,0.5,0.684468168
1,0.55,0.686752917
1,0.6,0.701322416
1,0.65,0.715891914
1,0.7,0.728176663
1,0.75,0.742746162
1,0.8,0.759600409
