x_cm,y_cm
27.9,0.1385
27.66671,0.1385
27.43342,0.1385
27.20013,0.1385
26.96684,0.1385
26.73355,0.1385
26.500261,0.1385
26.266971,0.1385
26.033681,0.1385
25.800391,0.1385
25.567101,0.1385
25.333811,0.1385
25.100521,0.1385
24.867231,0.1385
24.633941,0.1385
24.400651,0.1385
24.167361,0.1385
23.934071,0.1385
23.700782,0.1385
23.467492,0.1385
23.234202,0.1385
23.000912,0.1385
22.767622,0.1385
22.534332,0.1385
22.301042,0.1385
22.067752,0.1385
21.834462,0.1385
21.601172,0.1385
21.367882,0.1385
21.134592,0.1385
20.901303,0.1385
20.668013,0.1385
20.434723,0.1385
20.201433,0.1385
19.968143,0.1385
19.734853,0.1385
19.501563,0.1385
19.268273,0.1385
19.034983,0.1385
18.801693,0.1385
18.568403,0.1385
18.335113,0.1385
18.101824,0.1385
17.868534,0.1385
17.635244,0.1385
17.401954,0.1385
17.168664,0.1385
16.935374,0.1385
16.702084,0.1385
16.468794,0.1385
16.235504,0.1385
16.002214,0.1385
15.768924,0.1385
15.535634,0.1385
15.302345,0.1385
15.069055,0.1385
14.835765,0.1385
14.602475,0.1385
14.369185,0.1385
14.135895,0.1385
13.902605,0.1385
13.669315,0.1385
13.436025,0.1385
13.202735,0.1385
12.969445,0.1385
12.736155,0.1385
12.502866,0.1385
12.269576,0.1385
12.036286,0.1385
11.802996,0.1385
11.569706,0.1385
11.336416,0.1385
11.103126,0.1385
10.869836,0.1385
10.636546,0.1385
10.403256,0.1385
10.169966,0.1385
9.936676,0.1385
9.703387,0.1385
9.470097,0.1385
9.236807,0.1385
9.003517,0.1385
8.770227,0.1385
8.536937,0.1385
8.303647,0.1385
8.070357,0.1385
7.837067,0.1385
7.603777,0.1385
7.370487,0.1385
7.137197,0.1385
6.903908,0.1385
6.670618,0.1385
6.437328,0.1385
6.204038,0.1385
5.970748,0.1385
5.737458,0.1385
5.504168,0.1385
5.270878,0.1385
5.037588,0.1385
4.804298,0.1385
4.571008,0.1385
4.337718,0.1385
4.104429,0.1385
3.871139,0.1385
3.637849,0.1385
3.404559,0.1385
3.171269,0.1385
2.937979,0.1385
2.704689,0.1385
2.471399,0.1385
2.238109,0.1385
2.004819,0.1385
1.771529,0.1385
1.538239,0.1385
1.30495,0.1385
1.07166,0.1385
0.83837,0.1385
0.60508,0.1385
0.37179,0.1385
0.1385,0.1385
0.134874,0.138453
0.131251,0.13831
0.127633,0.138073
0.124023,0.137741
0.120422,0.137315
0.116834,0.136795
0.11326,0.136181
0.109704,0.135473
0.106168,0.134673
0.102654,0.133781
0.099164,0.132797
0.095701,0.131721
0.092268,0.130556
0.088866,0.129301
0.085498,0.127957
0.082167,0.126526
0.078874,0.125008
0.075622,0.123404
0.072414,0.121716
0.06925,0.119945
0.066134,0.118091
0.063067,0.116156
0.060053,0.114141
0.057092,0.112049
0.054187,0.109879
0.051339,0.107635
0.048551,0.105316
0.045825,0.102926
0.043163,0.100464
0.040566,0.097934
0.038036,0.095337
0.035574,0.092675
0.033184,0.089949
0.030865,0.087161
0.028621,0.084313
0.026451,0.081408
0.024359,0.078447
0.022344,0.075433
0.020409,0.072366
0.018555,0.06925
0.016784,0.066086
0.015096,0.062878
0.013492,0.059626
0.011974,0.056333
0.010543,0.053002
0.009199,0.049634
0.007944,0.046232
0.006779,0.042799
0.005703,0.039336
0.004719,0.035846
0.003827,0.032332
0.003027,0.028796
0.002319,0.02524
0.001705,0.021666
0.001185,0.018078
0.000759,0.014477
0.000427,0.010867
0.00019,0.007249
4.7e-05,0.003626
0.0,0.0
4.7e-05,-0.003626
0.00019,-0.007249
0.000427,-0.010867
0.000759,-0.014477
0.001185,-0.018078
0.001705,-0.021666
0.002319,-0.02524
0.003027,-0.028796
0.003827,-0.032332
0.004719,-0.035846
0.005703,-0.039336
0.006779,-0.042799
0.007944,-0.046232
0.009199,-0.049634
0.010543,-0.053002
0.011974,-0.056333
0.013492,-0.059626
0.015096,-0.062878
0.016784,-0.066086
0.018555,-0.06925
0.020409,-0.072366
0.022344,-0.075433
0.024359,-0.078447
0.026451,-0.081408
0.028621,-0.084313
0.030865,-0.087161
0.033184,-0.089949
0.035574,-0.092675
0.038036,-0.095337
0.040566,-0.097934
0.043163,-0.100464
0.045825,-0.102926
0.048551,-0.105316
0.051339,-0.107635
0.054187,-0.109879
0.057092,-0.112049
0.060053,-0.114141
0.063067,-0.116156
0.066134,-0.118091
0.06925,-0.119945
0.072414,-0.121716
0.075622,-0.123404
0.078874,-0.125008
0.082167,-0.126526
0.085498,-0.127957
0.088866,-0.129301
0.092268,-0.130556
0.095701,-0.131721
0.099164,-0.132797
0.102654,-0.133781
0.106168,-0.134673
0.109704,-0.135473
0.11326,-0.136181
0.116834,-0.136795
0.120422,-0.137315
0.124023,-0.137741
0.127633,-0.138073
0.131251,-0.13831
0.134874,-0.138453
0.1385,-0.1385
0.37179,-0.1385
0.60508,-0.1385
0.83837,-0.1385
1.07166,-0.1385
1.30495,-0.1385
1.538239,-0.1385
1.771529,-0.1385
2.004819,-0.1385
2.238109,-0.1385
2.471399,-0.1385
2.704689,-0.1385
2.937979,-0.1385
3.171269,-0.1385
3.404559,-0.1385
3.637849,-0.1385
3.871139,-0.1385
4.104429,-0.1385
4.337718,-0.1385
4.571008,-0.1385
4.804298,-0.1385
5.037588,-0.1385
5.270878,-0.1385
5.504168,-0.1385
5.737458,-0.1385
5.970748,-0.1385
6.204038,-0.1385
6.437328,-0.1385
6.670618,-0.1385
6.903908,-0.1385
7.137197,-0.1385
7.370487,-0.1385
7.603777,-0.1385
7.837067,-0.1385
8.070357,-0.1385
8.303647,-0.1385
8.536937,-0.1385
8.770227,-0.1385
9.003517,-0.1385
9.236807,-0.1385
9.470097,-0.1385
9.703387,-0.1385
9.936676,-0.1385
10.169966,-0.1385
10.403256,-0.1385
10.636546,-0.1385
10.869836,-0.1385
11.103126,-0.1385
11.336416,-0.1385
11.569706,-0.1385
11.802996,-0.1385
12.036286,-0.1385
12.269576,-0.1385
12.502866,-0.1385
12.736155,-0.1385
12.969445,-0.1385
13.202735,-0.1385
13.436025,-0.1385
13.669315,-0.1385
13.902605,-0.1385
14.135895,-0.1385
14.369185,-0.1385
14.602475,-0.1385
14.835765,-0.1385
15.069055,-0.1385
15.302345,-0.1385
15.535634,-0.1385
15.768924,-0.1385
16.002214,-0.1385
16.235504,-0.1385
16.468794,-0.1385
16.702084,-0.1385
16.935374,-0.1385
17.168664,-0.1385
17.401954,-0.1385
17.635244,-0.1385
17.868534,-0.1385
18.101824,-0.1385
18.335113,-0.1385
18.568403,-0.1385
18.801693,-0.1385
19.034983,-0.1385
19.268273,-0.1385
19.501563,-0.1385
19.734853,-0.1385
19.968143,-0.1385
20.201433,-0.1385
20.434723,-0.1385
20.668013,-0.1385
20.901303,-0.1385
21.134592,-0.1385
21.367882,-0.1385
21.601172,-0.1385
21.834462,-0.1385
22.067752,-0.1385
22.301042,-0.1385
22.534332,-0.1385
22.767622,-0.1385
23.000912,-0.1385
23.234202,-0.1385
